product_code,source_prefix,current_brand,corrected_brand,product_name,confidence,basis,note
cultbeauty_135a82a68f0488,cultbeauty,CeraVe,111SKIN,111SKIN Repair Day Cream - Light 50ml,0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_ea4283fc121ccc,cultbeauty,Laura Mercier,111SKIN,111SKIN Antioxidant Essence 100ml,0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_fa38f6f3431c9e,cultbeauty,Medik8,111SKIN,111SKIN Repair Night Cream 50ml,0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_a78e79857cb964,cultbeauty,Murad,111SKIN,111SKIN Cryo Revitalising Moisturiser 50ml,0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_d210d007a8f952,cultbeauty,PATRICK TA,111SKIN,111SKIN Hyaluronic Acid Aqua Booster 20ml,0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_2fabdd3de41921,cultbeauty,PATRICK TA,111SKIN,111SKIN Repair Serum NAC Y2 30ml,0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_45935e8a0a7328,cultbeauty,PATRICK TA,111SKIN,111SKIN Y Theorem Repair Light Serum NAC Y2 (30ml),0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_a18a930706ca79,cultbeauty,Sisley Paris,111SKIN,111SKIN Repair Day Cream NAC Y2 50ml,0.95,product_name_prefix_match,product_name starts with a different known brand token
cultbeauty_1c18faf5685fa8,cultbeauty,BYOMA,ANUA,Anua Rice 70 Glow Milky Toner 250ml,0.82,product_name_prefix_match,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_19d8ca565df754,cultbeauty,Beauty Of Joseon,ANUA,Anua Heartleaf 77% Soothing Toner 250ml,0.82,product_name_prefix_match,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_14976cb82caf5c,cultbeauty,Paula's Choice,ANUA,Anua Azelaic Acid 10 Hyaluron Redness Soothing Serum 30ml,0.82,product_name_prefix_match,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_8832864456a92d,cultbeauty,Medik8,Allies of Skin,Allies of Skin 0.1% Retinal & Peptides Advanced Repair Night Cream 48ml,0.82,product_name_prefix_match,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_4558c514d14d43,cultbeauty,PATRICK TA,Allies of Skin,Allies of Skin Copper Tripeptide & Ectoin Advanced Repair Serum 50ml,0.82,product_name_prefix_match,foreign-source product_name clearly starts with a catalog brand token
cultbeauty_3f24aabd9adfb3,cultbeauty,Paula's Choice,Allies of Skin,Allies of Skin Azelaic and Kojic Advanced Clarifying Serum 30ml,0.82,product_name_prefix_match,foreign-source product_name clearly starts with a catalog brand token
