ingredient_rank,ingredient_id,name_ko,name_en,product_count,source_count,sources,deduplicated_paper_count,max_passed_stage_count,first_failed_filter,first_failed_filter_ko,final_score_candidate,candidate_effect_ids,candidate_paper_keys,review_status,runtime_score_change
1,glycerin,글리세린,Glycerin,38427,3,crossref|europe_pmc|pubmed,95,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
2,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,3,crossref|europe_pmc|pubmed,73,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
3,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,3,crossref|europe_pmc|pubmed,69,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
4,tocopherol,토코페롤,Tocopherol,25877,3,crossref|europe_pmc|pubmed,94,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
5,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,2,crossref|pubmed,39,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
6,citric_acid,시트릭애씨드,Citric Acid,21835,3,crossref|europe_pmc|pubmed,92,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
7,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21124,2,crossref|pubmed,34,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
8,hyaluronic_acid,히알루론산,Hyaluronic Acid,16824,3,crossref|europe_pmc|pubmed,96,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
9,dimethicone,디메치콘,Dimethicone,16684,2,crossref|pubmed,68,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
10,limonene,리모넨,Limonene,16657,3,crossref|europe_pmc|pubmed,94,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
11,linalool,리날룰,Linalool,16306,3,crossref|europe_pmc|pubmed,92,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
12,sodium_benzoate,소듐벤조에이트,Sodium Benzoate,14591,3,crossref|europe_pmc|pubmed,68,3,direct_existing_effect,기존 6효능 중 하나를 직접 측정,N,,,candidate_unverified,none
