rank,source_ingredient_id,dominant_name,row_count,product_count,kcia_ingredient_code,kcia_standard_name_ko,kcia_standard_name_en,kcia_old_names_ko,kcia_old_names_en,official_match_status,official_matched_row_count,official_match_ratio,official_conflict_codes,proposed_action,proposed_canonical_id,related_scoring_family_ids,selected_for_target,proposal_confidence,review_status,proposal_note,source_document_date,source_document_sha256
1,ing_pending_7afe49475353,Parfum (Fragrance),9258,9258,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
2,ing_pending_de1d207b336e,CI 77492,8899,8899,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
3,ing_pending_fa0d90bf1821,Iron Oxides (Ci 77491),8041,8041,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
4,ing_pending_91c576a970c4,Fragrance (Parfum),7681,7681,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
5,ing_pending_2caa3e79b7f0,Titanium Dioxide (CI 77891),7492,7492,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
6,ing_pending_9d3a797ebc33,CI 77499),6155,6155,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
7,ing_pending_356a192b7913,1,4175,4175,,,,,,not_applicable,0,0.000000,,reject_noise_candidate,,,N,high,rejected_noise,숫자·기호 중심의 비성분 원문 후보,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
8,ing_pending_226664e29d99,2-Hexanediol,4089,4089,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
9,ing_pending_c4165f6b3f9c,Ci 77499/Iron Oxides,3951,3951,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
10,ing_pending_80e77b1b8324,CI 77891 (Titanium Dioxide),3310,3310,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
11,ing_pending_07681f645a9c,Iron Oxides (CI 77492),3145,3145,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
12,ing_pending_ed53cd8c2cbb,CI 77491,3041,3041,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
13,ing_pending_a5ff456bf42e,Iron Oxides (CI 77499),2965,2965,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
14,ing_pending_97a719cd37a1,Water/Eau,2930,2930,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
15,ing_pending_cd3f20ed441f,Alcohol Denat,2818,2818,,,,,,official_variant_conflict,5,0.001774,532,manual_review,,,N,low,candidate_unverified,한 source ingredient ID 안에서 서로 다른 KCIA 성분코드가 발견됨,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
16,ing_pending_6d5a45920a15,Water,2505,2505,,,,,,official_exact_ambiguous,0,0.000000,2700|6210|6393|7628,manual_review,,,N,low,candidate_unverified,같은 표기가 둘 이상의 KCIA 성분코드와 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
17,ing_pending_5a84219bc8f7,Aqua/Eau,2473,2473,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
18,ing_pending_3d895bfdba86,Fragrance,2182,2182,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
19,ing_pending_ad9b61ff1f3c,Yellow 5 Lake (Ci 19140)],1762,1762,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
20,ing_pending_75ae2876c8ab,CI 77491 (Iron Oxides),1727,1727,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
21,ing_pending_dd6a009370a5,Red 7 Lake (Ci 15850),1611,1611,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
22,ing_pending_2a4fd6e4c893,Water/Aqua/Eau,1576,1576,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
23,ing_pending_7636a01d73a8,Ci 77492/Iron Oxides,1451,1451,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
24,ing_pending_395eba99526f,Blue 1 Lake (Ci 42090),1448,1448,,,,,,no_official_exact_match,0,0.000000,,manual_review,,,N,low,candidate_unverified,표준명·영문명·구명칭 exact 일치 없음; 기존 alias도 identity 병합 근거로 사용하지 않음,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
25,ing_pending_74315e9689ef,Chamomilla Recutita (Matricaria) Flower Extract,1441,1441,,,,,,official_exact_ambiguous,0,0.000000,2985|18369,manual_review,,,N,low,candidate_unverified,같은 표기가 둘 이상의 KCIA 성분코드와 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
26,ing_pending_bb08ccaeca30,Glycyrrhiza Glabra (Licorice) Root Extract,1377,1377,,,,,,official_exact_ambiguous,0,0.000000,2289|18359|18405,manual_review,,,N,low,candidate_unverified,같은 표기가 둘 이상의 KCIA 성분코드와 일치,2026-06-30,4a523f990553a507c1236c0490bcbb953960861f5da5cddf7ee79b48f5403178
