ingredient_id,effect_id,paper_key,title,source_url,decision,result_direction,evidence_tier,applicability,score_eligible_after_ai_audit,reason,review_status
potassium_lactate,effect_moisture_barrier,PMID:22464763,Decreased lactate and potassium levels in natural moisturizing factor from the stratum corneum of mild atopic dermatitis patients are involved with the reduced hydration state.,https://pubmed.ncbi.nlm.nih.gov/22464763/,candidate_supporting,positive,4,human_topical,Y,Human AD study directly reports that topical potassium lactate increased skin surface hydration; non-randomized supporting evidence,candidate_unverified
potassium_lactate,effect_moisture_barrier,PMID:21771099,Hydrating effect of potassium lactate is caused by increasing the interaction between water molecules and the serine residue of the stratum corneum protein.,https://pubmed.ncbi.nlm.nih.gov/21771099/,reference_mechanistic,positive,8,mechanistic,N,Relevant hydration mechanism but not a separable controlled human efficacy trial,candidate_unverified
achillea_millefolium_extract,effect_calming,PMID:29731432,Investigation of the effects of Achillea millefolium extract in diabetic rats with second-degree burns.,https://pubmed.ncbi.nlm.nih.gov/29731432/,reference_null,null,6,mechanistic,N,Topical animal burn study found no significant difference in dermatitis severity or inflammatory cell reactions,candidate_unverified
oenothera_biennis_evening_primrose_oil,effect_moisture_barrier,PMID:38360611,The effect of Oenothera biennis (Evening primrose) oil on inflammatory diseases: a systematic review of clinical trials.,https://pubmed.ncbi.nlm.nih.gov/38360611/,reference_route_mismatch,mixed,8,route_mismatch,N,Systematic review mentions skin hydration and barrier outcomes but primarily evaluates consumed oil and heterogeneous conditions,candidate_unverified
hydrolyzed_hyaluronic_acid,effect_moisture_barrier,DOI:10.20944/preprints202106.0580.v1,"A Face Serum Containing Bakuchiol, Palmitoyl Tripeptide-38, Hydrolyzed Hyaluronic Acid and a Polyherbal and Vitamin Blend Improves Skin Quality in Human Volunteers and Protects Skin Structure In vitro",https://doi.org/10.20944/preprints202106.0580.v1,reference_combination,positive,4,combination_or_formulation,N,Human preprint studies a multi-ingredient serum and cannot isolate hydrolyzed hyaluronic acid,candidate_unverified
anhydroxylitol,effect_moisture_barrier,PMID:41243164,"Safety Assessment of Anhydrogalactose, Anhydroglucitol, Anhydroxylitol, Arabinose, Psicose, Saccharide Hydrolysate, and Saccharide Isomerate as Used in Cosmetics.",https://pubmed.ncbi.nlm.nih.gov/41243164/,reference_safety_only,unclear,8,reference_only,N,Safety assessment and reported function do not measure moisturizing efficacy,candidate_unverified
saccharide_hydrolysate,effect_moisture_barrier,PMID:41243164,"Safety Assessment of Anhydrogalactose, Anhydroglucitol, Anhydroxylitol, Arabinose, Psicose, Saccharide Hydrolysate, and Saccharide Isomerate as Used in Cosmetics.",https://pubmed.ncbi.nlm.nih.gov/41243164/,reference_safety_only,unclear,8,reference_only,N,Safety assessment and reported function do not measure moisturizing efficacy,candidate_unverified
isopropyl_titanium_triisostearate,effect_moisture_barrier,PMID:40673536,Titanium Complexes as Used in Cosmetics.,https://pubmed.ncbi.nlm.nih.gov/40673536/,reference_safety_only,unclear,8,reference_only,N,Safety assessment identifies surface-modifier use and does not measure moisturizing efficacy,candidate_unverified
octyldodecyl_stearoyl_stearate,effect_moisture_barrier,PMID:11766132,Final report on the safety assessment of Octyidodecyl Stearoyl Stearate.,https://pubmed.ncbi.nlm.nih.gov/11766132/,reference_safety_only,unclear,8,reference_only,N,Safety review calls the ingredient occlusive but contains no direct moisturizing efficacy comparison,candidate_unverified
peg_10,effect_moisture_barrier,PMID:11800049,"Final report on the safety assessment of PEG-25 propylene glycol stearate, PEG-75 propylene glycol stearate, PEG-120 propylene glycol stearate, PEG-10 propylene glycol, PEG-8 propylene glycol cocoate, and PEG-55 propylene glycol oleate.",https://pubmed.ncbi.nlm.nih.gov/11800049/,reference_safety_only,unclear,8,combination_or_formulation,N,Grouped safety assessment and function listing do not isolate PEG-10 moisturizing efficacy,candidate_unverified
peg_4,effect_moisture_barrier,PMID:17090481,Final report on the safety assessment of Triethylene Glycol and PEG-4.,https://pubmed.ncbi.nlm.nih.gov/17090481/,reference_safety_only,unclear,8,combination_or_formulation,N,Safety assessment and humectant function listing do not measure PEG-4 moisturizing efficacy,candidate_unverified
peg_8,effect_moisture_barrier,PMID:10528074,Elasticity of vesicles affects hairless mouse skin structure and permeability.,https://pubmed.ncbi.nlm.nih.gov/10528074/,reject_wrong_entity,unclear,6,combination_or_formulation,N,Study uses PEG-8 laurate ester vesicles rather than canonical PEG-8 and measures permeability not moisturization,rejected
sodium_lactate,effect_moisture_barrier,PMID:22061305,Sodium lactate and protective culture effects on quality characteristics and shelf-life of low-fat frankfurters produced with olive oil.,https://pubmed.ncbi.nlm.nih.gov/22061305/,reject_wrong_domain,unclear,8,reference_only,N,Food moisture and sausage skin are unrelated to cosmetic skin hydration,rejected
talc,effect_moisture_barrier,PMID:33038019,Mesoporous magnesium carbonate for use in powder cosmetics.,https://pubmed.ncbi.nlm.nih.gov/33038019/,reject_comparator_only,unclear,7,mechanistic,N,Talc is a comparator while the studied active material is mesoporous magnesium carbonate,rejected
tribehenin,effect_moisture_barrier,PMID:11800053,"Final report on the safety assessment of trilaurin, triarachidin, tribehenin, tricaprin, tricaprylin, trierucin, triheptanoin, triheptylundecanoin, triisononanoin, triisopalmitin, triisostearin, trilinolein, trimyristin, trioctanoin, triolein, tripalmitin, tripalmitolein, triricinolein, tristearin, triundecanoin, glyceryl triacetyl hydroxystearate, glyceryl triacetyl ricinoleate, and glyceryl stearate diacetate.",https://pubmed.ncbi.nlm.nih.gov/11800053/,reference_safety_only,unclear,8,reference_only,N,Grouped safety review and occlusive function statement do not isolate Tribehenin moisturizing efficacy,candidate_unverified
