"ingredient_id","effect_id","evidence_level","evidence_score","source_title","source_url","summary","source_type","pmid","doi","source_authority_score"
"niacinamide","effect_brightening","high","95","식품의약품안전처 고시 및 관련 근거 자료","https://pubmed.ncbi.nlm.nih.gov/12100180/","나이아신아마이드는 피부 톤과 색소 고민 관리에 도움을 줄 수 있는 성분으로, 공개 근거에서는 멜라노솜을 통해 각질세포 이동 차단 내용이 확인됩니다.","paper","12100180","","0.9"
"niacinamide","effect_moisture_barrier","high","85","성분 기능 공개 문헌 검토 자료","","나이아신아마이드는 피부 수분 유지와 장벽 보완에 도움을 줄 수 있는 성분으로, 공개 근거에서는 장벽지질 합성 촉진 내용이 확인됩니다.","unknown","","","0.9"
"niacinamide","effect_acne_sebum","high","70","PubMed 등재 연구 자료 (PMID 16766489)","https://pubmed.ncbi.nlm.nih.gov/16766489/","나이아신아마이드는 피지와 여드름성 피부 고민 관리에 도움을 줄 수 있는 성분으로, 공개 근거에서는 피지분비 감소 내용이 확인됩니다.","paper","16766489","","0.7"
"niacinamide","effect_wrinkle","high","70","PubMed 등재 연구 자료 (PMID 18492135)","https://pubmed.ncbi.nlm.nih.gov/18492135/","나이아신아마이드는 피부 결, 탄력, 잔주름 관리에 도움을 줄 수 있는 성분으로, 공개 근거에서는 콜라겐·잔주름 개선 내용이 확인됩니다.","paper","18492135","","0.7"
"niacinamide","effect_calming","medium","60","PubMed 등재 연구 자료 (PMID 18492135)","https://pubmed.ncbi.nlm.nih.gov/18492135/","나이아신아마이드는 민감한 피부의 진정 관리에 도움을 줄 수 있는 성분으로, 공개 근거에서는 홍조 개선 내용이 확인됩니다.","paper","18492135","","0.7"
"salicylic_acid_bha","effect_acne_sebum","high","78","식품의약품안전처 고시 및 관련 근거 자료","https://pubmed.ncbi.nlm.nih.gov/32356369/","살리실산/BHA는 피지와 여드름성 피부 고민 관리에 도움을 줄 수 있는 성분으로, 공개 근거에서는 지용성·모공 침투, 면포·피지 용해 내용이 확인됩니다.","paper","32356369","","0.7"
"salicylic_acid_bha","effect_exfoliation","high","76","식품의약품안전처 고시 및 관련 근거 자료","https://www.mfds.go.kr/","살리실산/BHA는 묵은 각질과 거친 피부 결 정돈에 도움을 줄 수 있는 성분으로, 공개 근거에서는 각질층 분해·박리 내용이 확인됩니다.","mfds","","","0.7"
"aha","effect_exfoliation","high","78","PubMed 등재 연구 자료 (PMID 8651713)","https://pubmed.ncbi.nlm.nih.gov/8651713/","AHA는 묵은 각질과 거친 피부 결 정돈에 도움을 줄 수 있는 성분으로, 공개 근거에서는 수용성 표면 각질용해(코르네오사이트 결합 분해) 내용이 확인됩니다.","paper","8651713","","0.7"
"aha","effect_wrinkle","medium","62","PubMed 등재 연구 자료 (PMID 8642081)","https://pubmed.ncbi.nlm.nih.gov/8642081/","AHA는 피부 결, 탄력, 잔주름 관리에 도움을 줄 수 있는 성분으로, 공개 근거에서는 표피 리모델링·표면 결 개선 내용이 확인됩니다.","paper","8642081","","0.7"
"aha","effect_moisture_barrier","medium","60","PubMed 등재 연구 자료 (PMID 8818186)","https://pubmed.ncbi.nlm.nih.gov/8818186/","AHA는 피부 수분 유지와 장벽 보완에 도움을 줄 수 있는 성분으로, 공개 근거에서는 L-락틱 세라마이드 합성·피부 수분 손실 개선 내용이 확인됩니다.","paper","8818186","","0.7"
