cohort,ingredient_id,name_ko,name_en,product_count,paper_key,pmid,doi,title,evidence_tier,relation_scope,applicability,claim_category,effect_id,new_effect_candidate,direction,evidence_span,recommended_score_use,review_status,runtime_score_change
representative_180,glycerin,글리세린,Glycerin,38427,PMID:31840548,31840548,10.1177/1091581819883820,Safety Assessment of Glycerin as Used in Cosmetics.,8,title_exact,reference_only,safety_signal_review,,,unclear,Safety Assessment of Glycerin as Used in Cosmetics.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,PMID:31588615,31588615,10.1111/jdv.15944,Safety review of phenoxyethanol when used as a preservative in cosmetics.,8,title_exact,combination_or_formulation,safety_signal_review,,,unclear,Safety review of phenoxyethanol when used as a preservative in cosmetics.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,PMID:34921565,34921565,10.1111/cod.14029,"Allergic contact dermatitis to phenoxyethanol: A rare, but possible cause of hand dermatitis.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Allergic contact dermatitis to phenoxyethanol: A rare, but possible cause of hand dermatitis.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,butylene_glycol,부틸렌글라이콜,Butylene Glycol,26098,PMID:32342510,32342510,10.1111/cod.13581,Allergic contact dermatitis due to butylene glycol in cosmetics.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis due to butylene glycol in cosmetics.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:26876063,26876063,10.1111/cod.12546,"Ethylhexylglycerin: a low-risk, but highly relevant, sensitizer in 'hypo-allergenic' cosmetics.",4,title_exact,human_topical,risk_penalty_candidate,,,negative,"Ethylhexylglycerin: a low-risk, but highly relevant, sensitizer in 'hypo-allergenic' cosmetics.",risk_only_after_full_text_approval,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:12492553,12492553,10.1034/j.1600-0536.2002.470308_4.x,Allergic contact dermatitis from ethylhexylglycerin.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis from ethylhexylglycerin.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:17680873,17680873,10.1111/j.1600-0536.2007.01103.x,Allergic contact dermatitis to ethylhexylglycerin in a cream.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis to ethylhexylglycerin in a cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:19780779,19780779,10.1111/j.1600-0536.2009.01586.x,Allergic contact dermatitis to ethylhexylglycerin and pentylene glycol.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis to ethylhexylglycerin and pentylene glycol.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:24407069,24407069,10.1097/der.0b013e3182a5d8a9,Allergic contact dermatitis from ethylhexylglycerin in sunscreens.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis from ethylhexylglycerin in sunscreens.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:26876063,26876063,10.1111/cod.12546,"Ethylhexylglycerin: a low-risk, but highly relevant, sensitizer in 'hypo-allergenic' cosmetics.",4,title_exact,human_topical,safety_signal_review,,,unclear,"Ethylhexylglycerin: a low-risk, but highly relevant, sensitizer in 'hypo-allergenic' cosmetics.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:26899807,26899807,10.1111/cod.12471,Allergic contact dermatitis caused by ethylhexylglycerin in both an ointment and a skin aerosol.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis caused by ethylhexylglycerin in both an ointment and a skin aerosol.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:34570737,34570737,10.1097/der.0000000000000709,"Patch Testing to Ethylhexylglycerin: The North American Contact Dermatitis Group Experience, 2013-2018.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Patch Testing to Ethylhexylglycerin: The North American Contact Dermatitis Group Experience, 2013-2018.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:35318977,35318977,10.1097/der.0000000000000873,A Case of Pigmented Contact Dermatitis Caused by Ethylhexylglycerin.,8,title_exact,reference_only,safety_signal_review,,,unclear,A Case of Pigmented Contact Dermatitis Caused by Ethylhexylglycerin.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:38017612,38017612,10.1111/cod.14467,A non-cosmetic allergic contact dermatitis to ethylhexylglycerin.,8,title_exact,reference_only,safety_signal_review,,,unclear,A non-cosmetic allergic contact dermatitis to ethylhexylglycerin.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24596,PMID:40241678,40241678,10.1111/cod.14802,Occupational Allergic Contact Dermatitis to Ethylhexylglycerin in an Alcohol-Based Hand Disinfectant.,8,title_exact,reference_only,safety_signal_review,,,unclear,Occupational Allergic Contact Dermatitis to Ethylhexylglycerin in an Alcohol-Based Hand Disinfectant.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21124,PMID:32468581,32468581,10.1111/cod.13628,"Allergic contact dermatitis to caprylyl glycol: A novel ""para-preservative"" allergen.",8,title_exact,reference_only,safety_signal_review,,,unclear,"Allergic contact dermatitis to caprylyl glycol: A novel ""para-preservative"" allergen.",safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,dimethicone,디메치콘,Dimethicone,16684,PMID:24861370,24861370,10.1177/1091581814524963,Safety Assessment of Dimethicone Crosspolymers as Used in Cosmetics.,8,title_exact,reference_only,safety_signal_review,,,unclear,Safety Assessment of Dimethicone Crosspolymers as Used in Cosmetics.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,dimethicone,디메치콘,Dimethicone,16684,PMID:29430705,29430705,10.1111/cod.12922,Allergic contact dermatitis resulting from cetyl PEG/PPG-10/1 dimethicone in a deodorant cream.,8,title_exact,reference_only,safety_signal_review,,,unclear,Allergic contact dermatitis resulting from cetyl PEG/PPG-10/1 dimethicone in a deodorant cream.,safety_context_only_until_full_text_review,candidate_unverified,none
representative_180,limonene,리모넨,Limonene,16657,PMID:20163165,20163165,10.1021/tx900433n,Structural influence on radical formation and sensitizing capacity of alkylic limonene hydroperoxide analogues in allergic contact dermatitis.,8,title_exact,reference_only,safety_signal_review,,,unclear,Structural influence on radical formation and sensitizing capacity of alkylic limonene hydroperoxide analogues in allergic contact dermatitis.,safety_context_only_until_full_text_review,candidate_unverified,none
