ingredient_id,name_ko,name_en,product_row_count,product_count,current_effect_ids,current_risk_types,cosing_match_status,cosing_inci_name,cosing_functions,cosing_restrictions,cosing_sccs_opinion_count,effect_signal_ids,effect_signal_basis,role_effect_candidate,role_formulation,role_risk_review,role_general_other,role_unresolved,research_priority,classification_status,classification_note,source_url,source_fetched_on
glycerin,글리세린,Glycerin,38427,38427,effect_calming|effect_exfoliation|effect_moisture_barrier,,exact_name,GLYCERIN,DENATURANT|FRAGRANCE|HAIR CONDITIONING|HUMECTANT|ORAL CARE|PERFUMING|SKIN CONDITIONING - HUMECTANT|SKIN PROTECTING|SOLVENT|VISCOSITY CONTROLLING,,0,effect_calming|effect_exfoliation|effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT+SKIN CONDITIONING - HUMECTANT|effect_calming:current_runtime|effect_exfoliation:current_runtime|effect_moisture_barrier:current_runtime,Y,Y,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
phenoxyethanol,페녹시에탄올,Phenoxyethanol,28403,28403,,,exact_name,PHENOXYETHANOL,ANTIMICROBIAL|PRESERVATIVE,V/29,2,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
butylene_glycol,부틸렌글라이콜,Butylene Glycol,26187,26098,,,exact_name,BUTYLENE GLYCOL,FRAGRANCE|HUMECTANT|SKIN CONDITIONING|SOLVENT|VISCOSITY CONTROLLING,,0,effect_moisture_barrier,effect_moisture_barrier:high:HUMECTANT,Y,Y,N,N,N,P1_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
tocopherol,토코페롤,Tocopherol,25902,25877,,,exact_name,TOCOPHEROL,ANTIOXIDANT|FRAGRANCE|SKIN CONDITIONING - MISCELLANEOUS|SKIN CONDITIONING - OCCLUSIVE,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - OCCLUSIVE,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,24552,24497,,,exact_name,ETHYLHEXYLGLYCERIN,DEODORANT|SKIN CONDITIONING,,0,,,N,N,N,Y,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
citric_acid,시트릭애씨드,Citric Acid,21857,21835,,,exact_name,CITRIC ACID,BUFFERING|CHELATING|FRAGRANCE,,3,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
caprylyl_glycol,카프릴릴글라이콜,Caprylyl Glycol,21155,21124,,,exact_name,CAPRYLYL GLYCOL,DEODORANT|HAIR CONDITIONING|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT,,0,effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT,Y,Y,N,N,N,P2_initial_evidence,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
hyaluronic_acid,히알루론산,Hyaluronic Acid,16824,16824,effect_calming|effect_moisture_barrier|effect_wrinkle,,exact_name,HYALURONIC ACID,ANTISTATIC|HUMECTANT|MOISTURISING|SKIN CONDITIONING,,0,effect_calming|effect_moisture_barrier|effect_wrinkle,effect_moisture_barrier:high:HUMECTANT+MOISTURISING|effect_calming:current_runtime|effect_moisture_barrier:current_runtime|effect_wrinkle:current_runtime,Y,Y,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
dimethicone,디메치콘,Dimethicone,16717,16684,effect_calming|effect_moisture_barrier,,exact_name,DIMETHICONE,ANTIFOAMING|SKIN CONDITIONING|SKIN CONDITIONING - EMOLLIENT|SKIN PROTECTING,,0,effect_calming|effect_moisture_barrier,effect_moisture_barrier:medium:SKIN CONDITIONING - EMOLLIENT+SKIN PROTECTING|effect_calming:current_runtime|effect_moisture_barrier:current_runtime,Y,Y,N,N,N,current_runtime,existing_runtime,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
limonene,리모넨,Limonene,16661,16657,,,exact_name,LIMONENE,DEODORANT|PERFUMING|SOLVENT,"III/88
III/167
III/168",0,,,N,Y,Y,N,N,not_selected,candidate_unverified,CosIng 기능은 후보 선별 신호일 뿐 논문 근거나 점수 승인 아님,https://single-market-economy.ec.europa.eu/sectors/cosmetics/cosmetic-ingredient-database_en,2026-07-12
