ingredient_id,name_ko,name_en,effect_id,effect_name,search_query,raw_pubmed_pmids,raw_hit_count,matched_pmids,matched_paper_count,best_evidence_tier,best_evidence_kind,best_relation_scope,best_effect_match_scope,best_applicability,best_pmid,best_title,best_signal_score,candidate_papers_json,second_pass_status,review_status,score_change,searched_on,search_version
2_3_butanediol,"2,3-부탄다이올","2,3-Butanediol",effect_moisture_barrier,보습·장벽,"(""2,3-Butanediol""[Title/Abstract] OR ""2 3 butanediol""[Title/Abstract]) AND (""barrier function""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dry skin""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""humectant""[Title/Abstract] OR ""hydration""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""moisture""[Title/Abstract] OR ""moisturising""[Title/Abstract] OR ""moisturizing""[Title/Abstract] OR ""occlusive""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""skin water content""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""water loss""[Title/Abstract] OR ""xerosis""[Title/Abstract])",42226445|41762609|42376112|40879209|40617206|40922211|41171461|40356128|38174390|38356544|38338586|37990365|36766134|36193455|35954084|35484968|34287875|32866836|32083310|32180827|32082290|31706326|30121751|27990176|27279026|24176113|25049913|21650020|16833264|16320623|9540987,31,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
acacia_seyal_gum_extract,시팀우드검추출물,Acacia Seyal Gum Extract,effect_moisture_barrier,보습·장벽,"(""Acacia Seyal Gum Extract""[Title/Abstract]) AND (""barrier function""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dry skin""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""humectant""[Title/Abstract] OR ""hydration""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""moisture""[Title/Abstract] OR ""moisturising""[Title/Abstract] OR ""moisturizing""[Title/Abstract] OR ""occlusive""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""skin water content""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""water loss""[Title/Abstract] OR ""xerosis""[Title/Abstract])",,0,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
acanthopanax_senticosus_eleuthero_root_extract,가시오갈피뿌리추출물,Acanthopanax Senticosus (Eleuthero) Root Extract,effect_calming,진정,"(""Acanthopanax Senticosus (Eleuthero) Root Extract""[Title/Abstract] OR ""acanthopanax senticosus eleuthero root extract""[Title/Abstract]) AND (""anti-inflammatory""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""erythema""[Title/Abstract] OR ""inflammation""[Title/Abstract] OR ""irritation""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""pruritus""[Title/Abstract] OR ""redness""[Title/Abstract] OR ""sensitive skin""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""wound healing""[Title/Abstract])",,0,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
acetamide_mea,아세타마이드엠이에이,Acetamide MEA,effect_moisture_barrier,보습·장벽,"(""Acetamide MEA""[Title/Abstract]) AND (""barrier function""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dry skin""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""humectant""[Title/Abstract] OR ""hydration""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""moisture""[Title/Abstract] OR ""moisturising""[Title/Abstract] OR ""moisturizing""[Title/Abstract] OR ""occlusive""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""skin water content""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""water loss""[Title/Abstract] OR ""xerosis""[Title/Abstract])",,0,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
acetamidoethoxyethanol,아세타미도에톡시에탄올,Acetamidoethoxyethanol,effect_moisture_barrier,보습·장벽,"(""Acetamidoethoxyethanol""[Title/Abstract]) AND (""barrier function""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dry skin""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""humectant""[Title/Abstract] OR ""hydration""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""moisture""[Title/Abstract] OR ""moisturising""[Title/Abstract] OR ""moisturizing""[Title/Abstract] OR ""occlusive""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""skin water content""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""water loss""[Title/Abstract] OR ""xerosis""[Title/Abstract])",,0,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
acetyl_heptapeptide_4,아세틸헵타펩타이드-4,Acetyl Heptapeptide-4,effect_moisture_barrier,보습·장벽,"(""Acetyl Heptapeptide-4""[Title/Abstract] OR ""acetyl heptapeptide 4""[Title/Abstract]) AND (""barrier function""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dry skin""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""humectant""[Title/Abstract] OR ""hydration""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""moisture""[Title/Abstract] OR ""moisturising""[Title/Abstract] OR ""moisturizing""[Title/Abstract] OR ""occlusive""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""skin water content""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""water loss""[Title/Abstract] OR ""xerosis""[Title/Abstract])",,0,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
acetyl_octapeptide_3,아세틸옥타펩타이드-3,Acetyl Octapeptide-3,effect_moisture_barrier,보습·장벽,"(""Acetyl Octapeptide-3""[Title/Abstract] OR ""acetyl octapeptide 3""[Title/Abstract]) AND (""barrier function""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dry skin""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""humectant""[Title/Abstract] OR ""hydration""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""moisture""[Title/Abstract] OR ""moisturising""[Title/Abstract] OR ""moisturizing""[Title/Abstract] OR ""occlusive""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""skin water content""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""water loss""[Title/Abstract] OR ""xerosis""[Title/Abstract])",,0,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
acetyl_tetrapeptide_5,아세틸테트라펩타이드-5,Acetyl Tetrapeptide-5,effect_moisture_barrier,보습·장벽,"(""Acetyl Tetrapeptide-5""[Title/Abstract] OR ""acetyl tetrapeptide 5""[Title/Abstract]) AND (""barrier function""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dry skin""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""humectant""[Title/Abstract] OR ""hydration""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""moisture""[Title/Abstract] OR ""moisturising""[Title/Abstract] OR ""moisturizing""[Title/Abstract] OR ""occlusive""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""skin water content""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""water loss""[Title/Abstract] OR ""xerosis""[Title/Abstract])",,0,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
achillea_millefolium_extract,서양톱풀추출물,Achillea Millefolium Extract,effect_acne_sebum,여드름·피지,"(""Achillea Millefolium Extract""[Title/Abstract]) AND (""acne""[Title/Abstract] OR ""anti-inflammatory""[Title/Abstract] OR ""comedogenic""[Title/Abstract] OR ""comedone""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""cutibacterium acnes""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""erythema""[Title/Abstract] OR ""inflammation""[Title/Abstract] OR ""irritation""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""propionibacterium acnes""[Title/Abstract] OR ""pruritus""[Title/Abstract] OR ""redness""[Title/Abstract] OR ""sebaceous""[Title/Abstract] OR ""sebum""[Title/Abstract] OR ""sensitive skin""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""wound healing""[Title/Abstract])",38670768|36290572|33650701|32951733|29731432|27913788|21711463|21684130|11558643,9,,0,,,,,,,,0,[],no_expanded_pubmed_candidate,not_found,none,2026-07-12,mwbl-missing-effect-search-v1
achillea_millefolium_extract,서양톱풀추출물,Achillea Millefolium Extract,effect_calming,진정,"(""Achillea Millefolium Extract""[Title/Abstract]) AND (""acne""[Title/Abstract] OR ""anti-inflammatory""[Title/Abstract] OR ""comedogenic""[Title/Abstract] OR ""comedone""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""cosmetic""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""cutibacterium acnes""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""erythema""[Title/Abstract] OR ""inflammation""[Title/Abstract] OR ""irritation""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""propionibacterium acnes""[Title/Abstract] OR ""pruritus""[Title/Abstract] OR ""redness""[Title/Abstract] OR ""sebaceous""[Title/Abstract] OR ""sebum""[Title/Abstract] OR ""sensitive skin""[Title/Abstract] OR ""skin""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""wound healing""[Title/Abstract])",38670768|36290572|33650701|32951733|29731432|27913788|21711463|21684130|11558643,9,29731432,1,6,animal,title_exact,abstract_effect,mechanistic,29731432,Investigation of the effects of Achillea millefolium extract in diabetic rats with second-degree burns.,30,"[{""pmid"":""29731432"",""title"":""Investigation of the effects of Achillea millefolium extract in diabetic rats with second-degree burns."",""tier"":6,""relation_scope"":""title_exact"",""effect_match_scope"":""abstract_effect"",""applicability"":""mechanistic"",""signal_score"":30}]",expanded_candidate_found,candidate_unverified,none,2026-07-12,mwbl-missing-effect-search-v1
