qa_area,target_brand,status,checked_count,issue_count,note
seed,ALL,pass,1112,0,임시 SQLite DB에 QA subset seed 완료. products=1112
brand_search,Numbuzin,pass,20,0,실제 product_search_service database fallback 결과 확인
brand_search,111SKIN,pass,20,0,실제 product_search_service database fallback 결과 확인
brand_search,Dr Dennis Gross,pass,20,0,실제 product_search_service database fallback 결과 확인
brand_search,Clé de Peau Beauté,pass,13,0,실제 product_search_service database fallback 결과 확인
brand_search,La Roche-Posay,pass,20,0,실제 product_search_service database fallback 결과 확인
recommendation_result,Numbuzin,pass,10,0,실제 recommendation_pipeline 응답 확인. matched_brands=numbuzin
recommendation_result,111SKIN,pass,10,0,실제 recommendation_pipeline 응답 확인. matched_brands=111SKIN
recommendation_result,Dr Dennis Gross,pass,10,0,실제 recommendation_pipeline 응답 확인. matched_brands=Dr Dennis Gross
recommendation_result,Clé de Peau Beauté,pass,10,0,실제 recommendation_pipeline 응답 확인. matched_brands=Clé de Peau Beauté
recommendation_result,La Roche-Posay,pass,10,0,실제 recommendation_pipeline 응답 확인. matched_brands=La Roche-Posay
product_detail,recommendation_products,pass,50,0,추천 결과 상품 상세 응답 확인
