ingredient_rank,ingredient_id,source,source_role,searched_name,query,searched_at,cutoff_date,raw_count,retrieved_count,selected_count,pagination_complete,search_status,source_run_status,failure_reason,input_provenance,query_contract_status,rerun_required,review_status,runtime_score_change,manifest_version,manifest_sha256,ingredient_dictionary_sha256,outcome_dictionary_sha256,direction_dictionary_sha256,policy_version
2,phenoxyethanol,pubmed,bibliographic_primary,Phenoxyethanol,"(""Phenoxyethanol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2026-07-13T06:21:15Z,2026-07-13,167,100,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
2,phenoxyethanol,europe_pmc,bibliographic_primary,Phenoxyethanol,"(TITLE_ABS:""Phenoxyethanol"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"") AND NOT SRC:MED AND NOT SRC:PAT",2026-07-13T06:26:10+00:00,2026-07-13,5,5,not_applicable,true,success,success,,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
2,phenoxyethanol,crossref,metadata_discovery,Phenoxyethanol,"(""Phenoxyethanol"") skin topical",2026-07-13T06:26:12+00:00,2026-07-13,439777,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
2,phenoxyethanol,openalex,metadata_discovery,Phenoxyethanol,"(""Phenoxyethanol"") skin topical",2026-07-13T06:26:10+00:00,2026-07-13,1263,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
2,phenoxyethanol,kci,regional_bibliographic,Phenoxyethanol,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,kci fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
2,phenoxyethanol,riss,regional_bibliographic,Phenoxyethanol,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,riss fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
3,butylene_glycol,pubmed,bibliographic_primary,Butylene Glycol,"(""Butylene Glycol""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermal""[Title/Abstract] OR ""epidermis""[Title/Abstract] OR ""epidermal""[Title/Abstract] OR ""stratum corneum""[Title/Abstract] OR ""corneocyte""[Title/Abstract] OR ""keratinocyte""[Title/Abstract] OR ""dermatology""[Title/Abstract] OR ""dermatitis""[Title/Abstract] OR ""cosmetic""[Title/Abstract])",2026-07-13T06:21:15Z,2026-07-13,49,49,not_applicable,true,success,success,,mwbl-ingredient-evidence-filter-v1.1-fresh-pubmed,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
3,butylene_glycol,europe_pmc,bibliographic_primary,Butylene Glycol,"(TITLE_ABS:""Butylene Glycol"") AND (TITLE_ABS:""skin"" OR TITLE_ABS:""topical"") AND NOT SRC:MED AND NOT SRC:PAT",2026-07-13T06:26:10+00:00,2026-07-13,4,4,not_applicable,true,success,success,,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
3,butylene_glycol,crossref,metadata_discovery,Butylene Glycol,"(""Butylene Glycol"") skin topical",2026-07-13T06:26:10+00:00,2026-07-13,494253,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
3,butylene_glycol,openalex,metadata_discovery,Butylene Glycol,"(""Butylene Glycol"") skin topical",2026-07-13T06:26:10+00:00,2026-07-13,404,50,not_applicable,false,success_protocol_capped,success_protocol_capped,Fresh v1.1 relevance-ranked retrieval cap reached; the declared search protocol completed but full source pagination was not attempted,mwbl-ingredient-multisource-discovery-v1.1-fresh,approved_terms_only,N,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
3,butylene_glycol,kci,regional_bibliographic,Butylene Glycol,,not_recorded,not_recorded,unknown,unknown,not_applicable,not_applicable,not_attempted,provenance_incomplete,kci fresh v1.1 query-log row is missing,missing_fresh_v1_1_source_log,not_applicable_not_run,Y,candidate_unverified,none,mwbl-ingredient-evidence-targets-466-v1.1,7779d9ebab29447f8465881efcb23b09a0f2f3751f524d19b389205ce650f26d,0ff05c147e6aeef899378f8d3c9c3ef8d09d9464f8b26fd18227cbbc5e5ad561,8b210cfd9ce5ee7d91b57739103e01050b5e0ea0284c72f16c0aa874aec18bc7,3af99cf832628c40f8cb229d8cad8c911cca9a71d60245bc469676accc86a619,mwbl-ingredient-evidence-adjudication-v1.1
