ingredient_id,name_en,effect_id,effect_name,signal_strength,signal_functions,selection_policy,search_query,raw_pubmed_pmids,human_topical_pmids,human_topical_titles_json,best_evidence_tier,best_evidence_kind,best_relation_scope,best_applicability,best_pmid,best_title,best_signal_score,tier_counts_json,candidate_papers_json,screening_status,selected_for_paper_review,review_status,score_change,screened_on,screening_version
2_3_butanediol,"2,3-Butanediol",effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""2,3-Butanediol""[Title/Abstract] OR ""2 3 butanediol""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acacia_seyal_gum_extract,Acacia Seyal Gum Extract,effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""Acacia Seyal Gum Extract""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acanthopanax_senticosus_eleuthero_root_extract,Acanthopanax Senticosus (Eleuthero) Root Extract,effect_calming,진정,high,SOOTHING,direct_cosing_signal,"(""Acanthopanax Senticosus (Eleuthero) Root Extract""[Title/Abstract] OR ""acanthopanax senticosus eleuthero root extract""[Title/Abstract]) AND (""erythema""[Title/Abstract] OR ""skin irritation""[Title/Abstract] OR ""cutaneous inflammation""[Title/Abstract] OR ""pruritus""[Title/Abstract] OR ""dermatitis""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acetamide_mea,Acetamide MEA,effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""Acetamide MEA""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acetamidoethoxyethanol,Acetamidoethoxyethanol,effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""Acetamidoethoxyethanol""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acetyl_heptapeptide_4,Acetyl Heptapeptide-4,effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""Acetyl Heptapeptide-4""[Title/Abstract] OR ""acetyl heptapeptide 4""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acetyl_hexapeptide_8,Acetyl Hexapeptide-8,effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""Acetyl Hexapeptide-8""[Title/Abstract] OR ""acetyl hexapeptide 8""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",40715158|40565185|38598772|33911590,,[],2,human_topical_rct,title_exact,route_mismatch,33911590,Anti-Wrinkle Efficacy of Cross-Linked Hyaluronic Acid-Based Microneedle Patch with Acetyl Hexapeptide-8 and Epidermal Growth Factor on Korean Skin.,19,"{""2"":1,""8"":1,""7"":2}","[{""pmid"":""33911590"",""tier"":2,""kind"":""human_topical_rct"",""relation_scope"":""title_exact"",""applicability"":""route_mismatch"",""signal_score"":19,""title"":""Anti-Wrinkle Efficacy of Cross-Linked Hyaluronic Acid-Based Microneedle Patch with Acetyl Hexapeptide-8 and Epidermal Growth Factor on Korean Skin.""},{""pmid"":""40565185"",""tier"":8,""kind"":""review_or_reference"",""relation_scope"":""title_exact"",""applicability"":""reference_only"",""signal_score"":15,""title"":""Acetyl Hexapeptide-8 in Cosmeceuticals-A Review of Skin Permeability and Efficacy.""},{""pmid"":""38598772"",""tier"":7,""kind"":""in_vitro"",""relation_scope"":""abstract_exact"",""applicability"":""combination_or_formulation"",""signal_score"":13,""title"":""Developing Plant Exosomes as an Advanced Delivery System for Cosmetic Peptide.""},{""pmid"":""40715158"",""tier"":7,""kind"":""in_vitro"",""relation_scope"":""abstract_exact"",""applicability"":""combination_or_formulation"",""signal_score"":13,""title"":""Oligomeric hyaluronic acid-modified liposomes effectively improved skin permeability and anti-ageing activity of ellagic acid.""}]",evidence_tier_2,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acetyl_octapeptide_3,Acetyl Octapeptide-3,effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""Acetyl Octapeptide-3""[Title/Abstract] OR ""acetyl octapeptide 3""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acetyl_tetrapeptide_3,Acetyl Tetrapeptide-3,effect_moisture_barrier,보습·장벽,medium,SKIN PROTECTING,human_topical_pubmed_required,"(""Acetyl Tetrapeptide-3""[Title/Abstract] OR ""acetyl tetrapeptide 3""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
acetyl_tetrapeptide_5,Acetyl Tetrapeptide-5,effect_moisture_barrier,보습·장벽,high,HUMECTANT,human_topical_pubmed_required,"(""Acetyl Tetrapeptide-5""[Title/Abstract] OR ""acetyl tetrapeptide 5""[Title/Abstract]) AND (""skin hydration""[Title/Abstract] OR ""skin barrier""[Title/Abstract] OR ""transepidermal water loss""[Title/Abstract] OR ""TEWL""[Title/Abstract]) AND (""skin""[Title/Abstract] OR ""topical""[Title/Abstract] OR ""cutaneous""[Title/Abstract] OR ""dermatologic""[Title/Abstract])",,,[],,,,,,,0,{},[],cosing_only,Y,candidate_unverified,none,2026-07-12,mwbl-effect-review-screen-v2-tiered
