candidate_group,proposed_canonical_id,name_ko,name_en,priority,split_policy,observed_count_note,source_ingredient_ids,notes
토코페롤/비타민E,tocopherol,토코페롤,Tocopherol,core,separate,481 products / 485 rows,ing_pending_c868df5fca6e,Vitamin E core candidate
토코페롤/비타민E,tocopheryl_acetate,토코페릴아세테이트,Tocopheryl Acetate,core,separate,94 products / 94 rows,ing_pending_377b4dfa71b4,Tocopherol derivative; decide scoring separately from tocopherol
토코페롤/비타민E,tocopheryl_glucoside,토코페릴글루코사이드,Tocopheryl Glucoside,review,hold_low_frequency,2 products / 2 rows,ing_pending_9f1312eb9265,Low frequency derivative
센텔라 활성 3종,asiaticoside,아시아티코사이드,Asiaticoside,core,separate,1602 products / 1608 normalized-exact source rows,ing_pending_35006ed60aa6;ing_pending_e81d4e5d2311;ing_pending_33c182c05f59;ing_pending_97d99791ed02,Do not merge into centella_asiatica; exact labels plus spacing/case/empty-parenthesis variants only
센텔라 활성 3종,madecassic_acid,마데카식애씨드,Madecassic Acid,core,separate,120 products / 120 rows,ing_pending_10d6c77df0e3,Do not merge into madecassoside or centella_asiatica automatically
센텔라 활성 3종,asiatic_acid,아시아틱애씨드,Asiatic Acid,core,separate,120 products / 120 rows,ing_pending_0e1ae9322504,Do not merge into centella_asiatica automatically
콜라겐 계열,collagen,콜라겐 계열,Collagen,core,family_candidate,221 products / 225 rows,ing_pending_11e567a5ff52;ing_pending_04d5b452c1bb;ing_pending_380c27f10ec6;ing_pending_dec3d0d3f32c;ing_pending_8f415c36392e,Score conservatively for surface moisturizing/conditioning only
베타-글루칸,beta_glucan,베타-글루칸,Beta-Glucan,core,family_candidate,206 products / 207 rows,ing_pending_7494c935a2e9;ing_pending_45d2fbd598af;ing_pending_4133ebbbf09e,Strong B candidate
베타-글루칸,sodium_carboxymethyl_beta_glucan,소듐카복시메틸베타-글루칸,Sodium Carboxymethyl Beta-Glucan,review,hold_low_frequency,2 products / 3 rows,ing_pending_243b01c0fec0,Derivative; review before aliasing to beta_glucan family
감초 활성염,dipotassium_glycyrrhizate,다이포타슘글리시리제이트,Dipotassium Glycyrrhizate,core,separate,169 products / 169 rows,ing_pending_76b0eea43494;ing_pending_359c5cbb7033,Do not merge into licorice_extract automatically
감초 활성염,glycyrrhizic_acid,글리시리직애씨드,Glycyrrhizic Acid,review,separate_or_family_review,3 products / 3 rows,ing_pending_3a3079e161f0,Low frequency licorice active
감초 활성염,ammonium_glycyrrhizate,암모늄글리시리제이트,Ammonium Glycyrrhizate,review,separate_or_family_review,2 products / 2 rows,ing_pending_5c1ab0754347,Low frequency licorice active salt
감초 단일 활성,glabridin,글라브리딘,Glabridin,core,separate,10 products / 10 normalized-exact rows,ing_pending_bb8eb932c3a5;ing_pending_55ec79293ee3,Do not merge into licorice_extract; exact labels plus spacing/case variants only
비타민C 유도체,sodium_ascorbyl_phosphate,소듐아스코빌포스페이트,Sodium Ascorbyl Phosphate,core,separate,55 products / 55 rows,ing_pending_ec6da355243d;ing_pending_814933332576,Do not merge into ascorbic_acid
비타민C 유도체,ethyl_ascorbic_acid,3-O-에틸아스코빅애씨드,3-O-Ethyl Ascorbic Acid,core,separate,51+ products / 51+ rows,ing_pending_dc4a7ec43c6c;ing_pending_715b46cc1f00;ing_pending_798b56a035c0;ing_pending_8bec5c130588,Unify Korean spelling variants after review
비타민C 유도체,ascorbyl_glucoside,아스코빌글루코사이드,Ascorbyl Glucoside,core,separate,34+ products / 34+ rows,ing_pending_46f9055cd877;ing_pending_1e31e12b42ce,Do not merge into ascorbic_acid
